지역,시기,대분류,항목,유형,6열,7열,8열,9열,10열
전라도,6월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,66,70,109,145,190
경상도,6월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,110,120,130,140,143
제주도,6월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,105,105,113,-,-
전국,5월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,66,110,132,154,200
수도권,5월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,66,100,135,173,220
비수도권,5월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,70,112,132,150,180
서울(강남),5월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,99,125,150,202,225
서울(강남외),5월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,44,77,95,143,163
부산,5월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,110,120,130,148,177
대구,5월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,120,129,140,153,180
인천,5월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,83,120,130,150,150
광주,5월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,66,77,150,176,319
대전,5월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,125,125,125,-,-
울산,5월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,68,120,130,143,172
경기도,5월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,44,55,70,113,143
강원도,5월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,85,139,159,167,184
충청도,5월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,59,70,100,125,150
전라도,5월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,66,88,110,150,202
경상도,5월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,110,120,130,140,143
제주도,5월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,105,105,112,-,-
전국,4월,스튜디오,앨범페이지 추가,선택,3,3,3,4,5
수도권,4월,스튜디오,앨범페이지 추가,선택,3,3,3,4,5
비수도권,4월,스튜디오,앨범페이지 추가,선택,3,3,3,5,5
서울,4월,스튜디오,앨범페이지 추가,선택,3,3,3,3,4
경인,4월,스튜디오,앨범페이지 추가,선택,3,3,3,4,7
5대 광역시,4월,스튜디오,앨범페이지 추가,선택,3,3,4,5,5
이외 지역,4월,스튜디오,앨범페이지 추가,선택,3,3,3,5,6
전국,3월,스튜디오,앨범페이지 추가,선택,3,3,3,4,5
수도권,3월,스튜디오,앨범페이지 추가,선택,3,3,3,4,5
비수도권,3월,스튜디오,앨범페이지 추가,선택,3,3,3,5,5
서울,3월,스튜디오,앨범페이지 추가,선택,3,3,3,3,4
경인,3월,스튜디오,앨범페이지 추가,선택,3,3,3,4,7
5대 광역시,3월,스튜디오,앨범페이지 추가,선택,3,3,4,5,5
이외 지역,3월,스튜디오,앨범페이지 추가,선택,3,3,3,5,6
전국,2월,스튜디오,앨범페이지 추가,선택,3,3,3,4,5
수도권,2월,스튜디오,앨범페이지 추가,선택,3,3,3,4,5
비수도권,2월,스튜디오,앨범페이지 추가,선택,3,3,3,5,5
서울,2월,스튜디오,앨범페이지 추가,선택,3,3,3,3,4
경인,2월,스튜디오,앨범페이지 추가,선택,3,3,3,4,7
5대 광역시,2월,스튜디오,앨범페이지 추가,선택,3,3,4,5,5
이외 지역,2월,스튜디오,앨범페이지 추가,선택,3,3,3,5,6
전국,1월,스튜디오,앨범페이지 추가,선택,3,3,3,4,5
수도권,1월,스튜디오,앨범페이지 추가,선택,3,3,3,4,5
비수도권,1월,스튜디오,앨범페이지 추가,선택,3,3,3,5,5
서울,1월,스튜디오,앨범페이지 추가,선택,3,3,3,3,4
경인,1월,스튜디오,앨범페이지 추가,선택,3,3,3,4,7
5대 광역시,1월,스튜디오,앨범페이지 추가,선택,3,3,4,5,5
이외 지역,1월,스튜디오,앨범페이지 추가,선택,3,3,3,5,6
전국,12월,스튜디오,앨범페이지 추가,선택,3,3,3,4,5
수도권,12월,스튜디오,앨범페이지 추가,선택,3,3,3,3,4
비수도권,12월,스튜디오,앨범페이지 추가,선택,3,3,3,4,5
서울,12월,스튜디오,앨범페이지 추가,선택,3,3,3,3,3
경인,12월,스튜디오,앨범페이지 추가,선택,3,3,4,4,5
5대 광역시,12월,스튜디오,앨범페이지 추가,선택,3,3,3,4,5
이외 지역,12월,스튜디오,앨범페이지 추가,선택,3,3,3,5,6
전국,11월,스튜디오,앨범페이지 추가,선택,3,3,3,4,5
수도권,11월,스튜디오,앨범페이지 추가,선택,3,3,3,3,4
비수도권,11월,스튜디오,앨범페이지 추가,선택,3,3,3,4,5
서울,11월,스튜디오,앨범페이지 추가,선택,3,3,3,3,3
경인,11월,스튜디오,앨범페이지 추가,선택,3,3,4,4,5
5대 광역시,11월,스튜디오,앨범페이지 추가,선택,3,3,3,4,5
이외 지역,11월,스튜디오,앨범페이지 추가,선택,3,3,3,5,6
전국,10월,스튜디오,앨범페이지 추가,선택,3,3,3,4,5
수도권,10월,스튜디오,앨범페이지 추가,선택,3,3,3,3,4
비수도권,10월,스튜디오,앨범페이지 추가,선택,3,3,3,4,5
서울,10월,스튜디오,앨범페이지 추가,선택,3,3,3,3,3
경인,10월,스튜디오,앨범페이지 추가,선택,3,3,4,4,5
5대 광역시,10월,스튜디오,앨범페이지 추가,선택,3,3,3,4,5
이외 지역,10월,스튜디오,앨범페이지 추가,선택,3,3,3,5,6
전국,9월,스튜디오,앨범페이지 추가,선택,3,3,3,4,5
수도권,9월,스튜디오,앨범페이지 추가,선택,3,3,3,3,4
비수도권,9월,스튜디오,앨범페이지 추가,선택,3,3,3,4,5
서울,9월,스튜디오,앨범페이지 추가,선택,3,3,3,3,3
경인,9월,스튜디오,앨범페이지 추가,선택,3,3,4,4,5
5대 광역시,9월,스튜디오,앨범페이지 추가,선택,3,3,3,4,5
이외 지역,9월,스튜디오,앨범페이지 추가,선택,3,3,3,5,6
전국,8월,스튜디오,앨범페이지 추가,선택,3,3,3,4,5
수도권,8월,스튜디오,앨범페이지 추가,선택,3,3,3,3,4
비수도권,8월,스튜디오,앨범페이지 추가,선택,3,3,3,4,5
서울,8월,스튜디오,앨범페이지 추가,선택,3,3,3,3,3
경인,8월,스튜디오,앨범페이지 추가,선택,3,3,4,4,5
5대 광역시,8월,스튜디오,앨범페이지 추가,선택,3,3,3,4,5
이외 지역,8월,스튜디오,앨범페이지 추가,선택,3,3,3,5,6
전국,7월,스튜디오,앨범페이지 추가,선택,3,3,3,4,5
수도권,7월,스튜디오,앨범페이지 추가,선택,3,3,3,3,4
비수도권,7월,스튜디오,앨범페이지 추가,선택,3,3,3,4,5
서울,7월,스튜디오,앨범페이지 추가,선택,3,3,3,3,3
경인,7월,스튜디오,앨범페이지 추가,선택,3,3,4,4,5
5대 광역시,7월,스튜디오,앨범페이지 추가,선택,3,3,3,4,5
이외 지역,7월,스튜디오,앨범페이지 추가,선택,3,3,3,5,6
전국,6월,스튜디오,앨범페이지 추가,선택,3,3,3,4,5
수도권,6월,스튜디오,앨범페이지 추가,선택,3,3,3,3,4
비수도권,6월,스튜디오,앨범페이지 추가,선택,3,3,3,4,5
서울,6월,스튜디오,앨범페이지 추가,선택,3,3,3,3,3
경인,6월,스튜디오,앨범페이지 추가,선택,3,3,4,4,5
5대 광역시,6월,스튜디오,앨범페이지 추가,선택,3,3,3,4,5
이외 지역,6월,스튜디오,앨범페이지 추가,선택,3,3,3,5,6
전국,5월,스튜디오,앨범페이지 추가,선택,3,3,3,4,5
수도권,5월,스튜디오,앨범페이지 추가,선택,3,3,3,4,5
비수도권,5월,스튜디오,앨범페이지 추가,선택,3,3,4,5,5
서울,5월,스튜디오,앨범페이지 추가,선택,3,3,3,3,4
경인,5월,스튜디오,앨범페이지 추가,선택,3,3,4,4,7
5대 광역시,5월,스튜디오,앨범페이지 추가,선택,3,3,4,5,5
이외 지역,5월,스튜디오,앨범페이지 추가,선택,3,3,3,5,5
전국,4월,스튜디오,드레스 추가,선택,3,3,3,4,5
수도권,4월,스튜디오,드레스 추가,선택,3,3,3,4,5
